"stadtname";"url_stadt";"max_page"
"Halle";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Halle%20(Saale);;;1276014010;Sachsen-Anhalt;&geocoordinates=51.47368;11.97126;50.0&pagenumber=";44
"Magdeburg";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Magdeburg;;;1276014013;Sachsen-Anhalt;&geocoordinates=52.12689;11.64377;50.0&enteredFrom=one_step_search&pagenumber=";8
"Freiburg im Breisgau";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Freiburg%20im%20Breisgau;;;1276001011;Baden-Wuerttemberg;&geocoordinates=47.98631;7.79607;50.0&pagenumber=";19
"Krefeld";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Krefeld;;;1276010027;Nordrhein-Westfalen;&geocoordinates=51.34612;6.5933;50.0&pagenumber=";98
"Mainz";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Mainz;;;1276011021;Rheinland-Pfalz;&geocoordinates=49.9951;8.26739;50.0&pagenumber=";84
"Luebeck";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Luebeck;;;1276015005;Schleswig-Holstein;&geocoordinates=53.88108;10.7614;50.0&pagenumber=";10
"Erfurt";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Erfurt;;;1276016003;Thueringen;&geocoordinates=50.98489;11.01495;50.0&enteredFrom=one_step_search&pagenumber=";7
"Rostock";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Rostock;;;13003;Mecklenburg-Vorpommern;&geocoordinates=54.14707;12.14028;50.0&enteredFrom=one_step_search&pagenumber=";4
"Kassel";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Kassel;;;1276007010;Hessen;&geocoordinates=51.31444;9.4601;50.0&pagenumber=";6
"Hagen";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Hagen;;;1276010019;Nordrhein-Westfalen;&geocoordinates=51.34114;7.48759;50.0&pagenumber=";77
"Saarbruecken";"https://www.immobilienscout24.de/Suche/radius/wohnung-kaufen?centerofsearchaddress=Stadtverband%20Saarbruecken%20(Kreis);;;1276012006008;;Saarbruecken&geocoordinates=49.23485;6.9944;50.0&pagenumber=";13
